Work item Id,Summary,Work type,Status,Priority,Labels,Description,Parent,Reporter,Assignee,Due date
100,EPIC9: Sprint 4 -- Latency + suppression,Epic,To Do,Highest,Latency,"Close the latency gap between the laptop steady-state target (median <=90s, worst <=240s) and the observed reality (median 6-7 min, worst 23 min on 2026-05-19 live load). Also closes the P2 suppression cascade (already shipped 2026-05-19 -- backfilled as Done story for audit trail) and the dashboard 'dismiss with recommendation' colour gap (P7).

Stories in this epic: S4-LAT-01, S4-LAT-02, S4-LAT-03, S4-LAT-04
Items from the 24-item ranked list (sprint-history.html): 1 (P0+P9 latency bundle), 2 (P2 suppression cascade -- DONE), 6 (P5 Drain3+empty-actions auto-downgrade), 15 (P7 dashboard colour)

Acceptance: all child stories Done by sprint end (2026-06-03), or carried with explicit rationale.",,Lina Laaraich,,03/Jun/26
101,EPIC10: Sprint 4 -- RCA prose honesty,Epic,To Do,High,RCA-Prose,"Close the gap between RCA-prose intent (cause-first, evidence-cited, no PromQL or raw floats in the lede) and the 2026-05-19 reality (Z-score equations and 16-digit floats appearing in cause prose; hallucinated metric names from truncation artifacts; word-for-word identical diagnostic_steps across distinct incidents).

Stories in this epic: S4-PR-01, S4-PR-02, S4-PR-03, S4-PR-04, S4-PR-05, S4-PR-06
Items from the 24-item ranked list (sprint-history.html): 3 (P1 PromQL scrubber), 4 (P3 deterministic diagnostic-steps), 7 (P4 truncated-name hallucination), 8 (P11 tighter classifier), 9 (P8 corpus reclassify), 11 (P6 exemplar prose rewrites)

Acceptance: all child stories Done by sprint end (2026-06-03), or carried with explicit rationale.",,Lina Laaraich,,03/Jun/26
102,EPIC11: Sprint 4 -- Correlation + retrieval + carry,Epic,To Do,Medium,Correlation,"Absorbs the long-tail Sprint 4 backlog: the incident correlator (US-5.2 carry from Sprint 2), the MCP native tool-calling rewrite (GPU-gate removed 2026-05-19), Tier 3 iterative agentic gather (now unblocked by S3-HF-09 Tier 4 scoreboard), curated RAG + weekly curation (deferred from Sprint 3), and resilience / polish items.

Stories in this epic: S4-CR-01 through S4-CR-14
Items from the 24-item ranked list (sprint-history.html): 5 (P10 US-5.2 correlator), 10 (MCP native tool-calling), 12 (Tier 3), 13 (curated RAG), 14 (weekly curation), 16 (pod-alert fixes), 17 (O-9+O-10), 18 (sentence-transformers), 19 (trace-ID linkage), 20 (RCA playbook), 21 (US-5.7 corpus), 22 (L2/L3 chaos), 23 (Drain3 self-mon allowlist), 24 (doc debt)

Acceptance: all child stories Done by sprint end (2026-06-03), or carried with explicit rationale.",,Lina Laaraich,,03/Jun/26
200,EPIC12: Sprint 4 -- Predictive observability,Epic,To Do,Medium,Predictive,"Surface forward-looking signals so the operator sees a developing problem BEFORE the post-incident page. Today the platform is reactive -- every code path assumes an alert has fired. EPIC12 adds a thin predictive layer using data the platform already collects: PromQL trajectory math via predict_linear() (capacity-runway dashboard), percentile-band entity baselines (saturation bands), historical cascade probabilities mined from rca_history.db (cascade predictor), and a UI tab that aggregates the detective signals already in the system (Drain3 novelty + entity sigma-claims + recurrence-gate fires). All four stories are PoC-test-bed-shippable in Sprint 4. The heavier ML lift (Prophet/Holt-Winters forecasting P-1, pre-deploy canary diff P-4, trace-shape predictor P-6) is deferred to Sprint 5+. Carve-out chosen 2026-05-21 from the SESSION_HANDOFF.md §C predictive-roadmap draft.

Stories in this epic: S4-PRED-01, S4-PRED-02, S4-PRED-03, S4-PRED-04
Items from the 24-item ranked list (sprint-history.html): 26 (detective-signals UI tab), 27 (P-3 capacity-runway dashboard), 28 (P-5 saturation-band baselines), 29 (P-2 cascade predictor, partners with S4-CR-01)

Acceptance: all child stories Done by sprint end (2026-06-03), or carried with explicit rationale.",,Lina Laaraich,,03/Jun/26
103,S4-LAT-01: Latency bundle -- 180s pipeline timeout + per-stage instrumentation + Ollama concurrency cap,Story,To Do,Highest,Latency,"Three sub-tasks that compound to pull median RCA latency from ~6 min to ~90s on the laptop runner: (1) Ollama concurrency cap = 1 (serial queue, no GPU time-sharing); (2) hard 180s asyncio.wait_for around the pipeline entry, with raw-alert fallback on TimeoutError; (3) per-stage histogram triage_pipeline_duration_seconds{stage} across webhook-receive / context-gather / exemplar-match / LLM-call / validate / retry / persist / notify. Per-stage instrumentation was drafted in a scratch branch during the investigation window -- find and rebase rather than re-scaffold.

Evidence (2026-05-19 live-load investigation): median 6-7 min, worst 23 min (PodHighMemoryUsage 2026-04-29); today's 2nd TargetDown took 16.7 min queued behind first; audit-live run #3 on 2026-05-20 hit the queue blowup again
Gate: median investigation_duration_ms <= 90s, worst <= 240s, queue depth <= 3

Cross-reference: sprint-history.html row 1; FYP report Chapter 11 table row 1. Story Points (bulk-edit post-import): 5.

---
P-tag: P0+P9
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 1",100,Lina Laaraich,Lina Laaraich,03/Jun/26
104,S4-LAT-02: P2: Suppression cascade fixes (synthetic-fingerprint filter + lookback 15->10 + recurrence-gate widening),Story,Done,High,Latency,"Three fixes shipped 2026-05-19, validated 2026-05-20 via 3-run audit-live gate:
  (1) Synthetic-fingerprint filter in get_recent_decision_for_alert --       audit-live-* and chaos-* fingerprints never poison real       suppression cache. (monitoring-triage-service@b96bbde)
  (2) TRIAGE_HISTORY_LOOKBACK_MINUTES 15 -> 10. (same commit)
  (3) recurrence_gate annotation widened to HighP95Latency +       HighKongP95Latency. (monitoring-project@54b18df)
Suite stepped 249 -> 252 with 3 new regression tests. Backfilled as a Done ticket for audit-trail completeness.

Evidence (2026-05-19 live-load investigation): one synthetic dismiss at 13:32 silenced 4 real MediumCpuUsage fires through 13:41; one real dismiss at 13:54 silenced 3 TargetDown follow-ups through 14:07 (both observed 2026-05-19)
Gate: 3-run audit-live gate: zero audit-live-* /decisions rows have triage_decision=triage_suppressed (CLOSED 2026-05-20 09:00 UTC)

Cross-reference: sprint-history.html row 2; FYP report Chapter 11 table row 2. Story Points (bulk-edit post-import): 2.

---
P-tag: P2
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 2",100,Lina Laaraich,Lina Laaraich,19/May/26
105,S4-LAT-03: Drain3 + empty-actions auto-downgrade,Story,To Do,High,Latency,"Post-LLM gate: if verdict=escalate AND suggested_actions=[] AND no service named -> auto-downgrade to dismiss, prose preserved with the tag 'awaiting correlation'. For Drain3AnomalyDetected specifically, require >=2 novel templates in the same 5-min window before escalating (raise the per-alert threshold inside drain_analyzer.py).

Evidence (2026-05-19 live-load investigation): 73784801 (2026-04-29) escalated for 'GET /robots.txt and Kong deprecation warnings' -- two unrelated observations, no causal connection, shelved actions. False page.
Gate: for the 28-decision rerun: zero RCAs with verdict=escalate AND suggested_actions=[] AND no named cause; Drain3 escalations require the >=2-novel-templates condition

Cross-reference: sprint-history.html row 6; FYP report Chapter 11 table row 6. Story Points (bulk-edit post-import): 2.

---
P-tag: P5
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 6",100,Lina Laaraich,Lina Laaraich,03/Jun/26
106,S4-LAT-04: Dashboard dismiss_with_recommendation colour,Story,To Do,Low,Latency,"New verdict bucket / colour at the dashboard layer: amber for 'dismiss but rule needs fixing' vs grey for 'dismiss, ignore'. Requires a schema migration on rca_history adding a dismiss_with_recommendation boolean (default false). Card legend in dashboard-guide.html updated.

Evidence (2026-05-19 live-load investigation): 36c23530 (2026-05-19) was a correct dismiss with suggested actions targeting the alerting RULE for a static-threshold misfire. Operator skimming 'dismiss' missed the actions.
Gate: dashboard renders amber for dismiss_with_recommendation=true; rca_history schema migration applied; >=1 verdict in the corpus carries the flag and renders correctly

Cross-reference: sprint-history.html row 15; FYP report Chapter 11 table row 15. Story Points (bulk-edit post-import): 2.

---
P-tag: P7
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 15",100,Lina Laaraich,Lina Laaraich,03/Jun/26
107,S4-PR-01: PromQL & numerical-noise scrubber,Story,To Do,High,RCA-Prose,"New validator rule rejecting RCA prose containing: PromQL function calls, raw floats > 4 sig figs, Z-score equations, metric names ending in '...' (truncation artefacts). New translate_value(value, unit) helper pre-renders metric values BEFORE prompt assembly so the LLM cites 'CPU usage 6.72%' rather than '0.0015848932803859128'. Strip '# TYPE' / '# HELP' / '...truncated...' markers from context before LLM sees it.

Evidence (2026-05-19 live-load investigation): RCAs literally contain 'Z-score: (6.72-6.3)/0.65 = +0.6 sigma', 'histogram_quantile(0.95) = 8203.846153846154 ms', 'sum by(le)(rate(http_server_requests_seconds_bucket{...}[5m]))' in cause-prose (sampled from 2026-05-19 live-load).
Gate: audit script grep on last 50 RCAs returns zero hits on 'histogram_quantile|rate\(|sum by\(|\.\d{6,}|sigma'

Cross-reference: sprint-history.html row 3; FYP report Chapter 11 table row 3. Story Points (bulk-edit post-import): 3.

---
P-tag: P1
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 3",101,Lina Laaraich,Lina Laaraich,03/Jun/26
108,S4-PR-02: Deterministic diagnostic-steps generator,Story,To Do,High,RCA-Prose,"Move diagnostic-step generation OUT of the LLM into a deterministic helper app/diagnostic_steps_for_alert(alert, ctx) that templates from the actual gathered evidence: deep_trace trace_id, alert service, window timestamps, observed value. LLM still writes RCA prose + suggested_actions; diagnostic_steps become auto-generated from concrete IDs.

Evidence (2026-05-19 live-load investigation): 111ded21 and a4555bdd (two different TargetDown fires on 2026-05-19) have word-for-word identical diagnostic_steps -- boilerplate not incident-specific
Gate: two TargetDown RCAs from different fires have >=3 distinct diagnostic-step strings each (zero duplicates)

Cross-reference: sprint-history.html row 4; FYP report Chapter 11 table row 4. Story Points (bulk-edit post-import): 5.

---
P-tag: P3
Source: monitoring-docs/sprint-history.html §Sprint 4 candidates row 4",101,Lina Laaraich,Lina Laaraich,03/Jun/26
