Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Team Id,Team Name,Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Epic 2 -- AI RCA System MVP,SCRUM-85,10148,Epic,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Medium,,,,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,31/Mar/26 9:13 AM,09/Apr/26 11:20 AM,09/Apr/26 11:20 AM,,23/Apr/26 12:00 AM,0,Alerting,Anomaly-Detection,"LLM,",Observability,,,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,dark_blue,0|i000bj:,SCRUM Sprint 2,,25/Mar/26 12:00 AM,,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,,,,To Do,31/Mar/26 9:13 AM
Epic 1 -- AWS Infrastructure Provisioning and Configuration,SCRUM-84,10147,Epic,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Medium,,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,31/Mar/26 9:13 AM,09/Apr/26 11:19 AM,09/Apr/26 11:19 AM,,23/Apr/26 12:00 AM,0,Ansible,AWS,Terraform,,,,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,dark_green,0|i000bb:,SCRUM Sprint 2,,25/Mar/26 12:00 AM,,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,,,,To Do,31/Mar/26 9:13 AM
"E2-12: End-to-end integration — load-test, alert, triage, LLM, RCA email",SCRUM-83,10114,Story,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Highest,,Riham Kontar,712020:0897b05b-187b-416b-8b0f-af444750172b,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,31/Mar/26 12:26 AM,09/Apr/26 11:16 AM,09/Apr/26 11:16 AM,,20/Apr/26 12:00 AM,0,Validation,,,,"As a developer, I can trigger a real alert and see the full pipeline execute end-to-end so that the MVP is proven. This is the Sprint 2 demo gate.

Acceptance Criteria:
- load-test.sh triggers latency alert (p95 > 500ms/5m)
- Layer 1: Grafana fires webhook to :8090 — verified in logs
- Layer 2: Triage deduplicates, checks history, decides investigate
- Layer 3: Ollama queries MCP bridges — logs show calls to Prometheus, Loki, Jaeger, Drain3, RCA History
- Structured JSON verdict: ESCALATE or DISMISS with RCA
- On ESCALATE: email received with Drain3 annotations, evidence, suggested actions
- Decision stored in SQLite — visible at GET /decisions
- Total pipeline latency under 60 seconds
- Second identical alert within 5 min: deduplicated (no second LLM call)
- RCA History MCP: second investigation references first RCA

Story Points: 3
Estimate: 0.5 day
Epic: AI RCA System (MVP)
Milestone: Sprint 2 complete",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000b3:,SCRUM Sprint 2,,,3.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10148,SCRUM-85,Epic 2 -- AI RCA System MVP,To Do,31/Mar/26 12:26 AM
E2-11: Docker-compose for AI stack — triage + 5 MCP servers + Ollama,SCRUM-82,10113,Story,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Highest,,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,31/Mar/26 12:26 AM,09/Apr/26 11:16 AM,09/Apr/26 11:15 AM,,16/Apr/26 12:00 AM,0,Docker,,,,"As a developer, I can containerize the full AI triage stack with docker-compose so that it deploys reproducibly.

Acceptance Criteria:
- ai-compose.yml.j2 Ansible template with 7 services
- triage-service: port 8090, volumes for drain3_state and rca_history.db
- ollama: port 11434, runtime:nvidia for GPU passthrough, model storage volume
- prometheus-mcp: port 8091, PROMETHEUS_URL from group_vars
- loki-mcp: port 8092, LOKI_URL from group_vars
- jaeger-mcp: port 8093, JAEGER_URL from group_vars
- drain3-mcp: port 8094, connects to triage Drain3 state
- rca-history-mcp: port 8095, reads triage SQLite volume
- nvidia-container-toolkit installed on AI VM
- Health checks for all 7 services
- Ansible host group ai added; playbooks/ai.yml deploys full stack

Story Points: 5
Estimate: 1 day
Epic: AI RCA System (MVP)",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000av:,SCRUM Sprint 2,,,5.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10148,SCRUM-85,Epic 2 -- AI RCA System MVP,To Do,31/Mar/26 12:26 AM
E2-10: Decision history — /decisions endpoint + RCA History MCP (:8095) + dashboard,SCRUM-81,10112,Story,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,High,,wael zidane,712020:d45469f1-f3f4-4e45-83b5-562ffe44172a,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,31/Mar/26 12:26 AM,09/Apr/26 11:15 AM,09/Apr/26 11:15 AM,,17/Apr/26 12:00 AM,0,FastAPI,,,,"As a developer, I can view all past RCA decisions so that the demo shows decision history and audit trail.

Acceptance Criteria:
- SQLite at /data/rca_history.db (volume-mounted) with full schema
- GET /decisions returns last N (default 50), sorted by timestamp desc
- GET /decisions?alert_name=X filters by alert name
- RCA History MCP on port 8095: get_recent_rcas(hours), search_rcas(alert_name, days), get_rca_detail(rca_id), get_alert_frequency(alert_name, days)
- Optional: /dashboard HTML page showing decision log as styled table

Story Points: 3
Estimate: 0.5 day
Epic: AI RCA System (MVP)",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000an:,SCRUM Sprint 2,,,3.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10148,SCRUM-85,Epic 2 -- AI RCA System MVP,To Do,31/Mar/26 12:26 AM
E2-09: 5-minute timeout fallback — raw alert passthrough (safety gate),SCRUM-80,10111,Story,In Progress,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Highest,,Riham Kontar,712020:0897b05b-187b-416b-8b0f-af444750172b,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,31/Mar/26 12:26 AM,09/Apr/26 11:15 AM,09/Apr/26 11:15 AM,,14/Apr/26 12:00 AM,0,"FastAPI,",Safety,,,"As an on-call engineer, if the LLM takes longer than 5 minutes I still receive the raw alert so that the AI layer never silently swallows an alert.

Acceptance Criteria:
- Entire pipeline in asyncio.wait_for(timeout=300)
- On TimeoutError: raw alert email with subject [ALERT] TIMEOUT: alert_name
- Timeout logged with alertname, elapsed time, pipeline stage at timeout
- Stored in RCA History as triage_decision: timeout_passthrough
- Implemented and tested BEFORE LLM integration
- Test: mock Ollama with 6-min sleep then verify raw alert email at exactly 5 min

Story Points: 3
Estimate: 0.5 day
Epic: AI RCA System (MVP)",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000af:,SCRUM Sprint 2,,,3.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10148,SCRUM-85,Epic 2 -- AI RCA System MVP,In Progress,09/Apr/26 10:51 AM
E2-08: ESCALATE action — send RCA email via SMTP,SCRUM-79,10110,Story,In Progress,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Highest,,Riham Kontar,712020:0897b05b-187b-416b-8b0f-af444750172b,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,31/Mar/26 12:26 AM,09/Apr/26 11:14 AM,09/Apr/26 11:14 AM,,14/Apr/26 12:00 AM,0,FastAPI,,,,"As an on-call engineer, when the LLM decides ESCALATE I receive an email with the full RCA so that I have actionable context without opening any dashboard.

Acceptance Criteria:
- On ESCALATE: email via smtplib with Gmail SMTP (smtp.gmail.com:587, TLS)
- Subject: [ALERT] severity: alert_name — affected_service
- Body: alert name, firing time, severity, LLM RCA report, suggested actions, confidence, evidence, dashboard links, RCA history context
- On DISMISS: no email, decision logged with reasoning
- Every decision stored in SQLite RCA History with full schema
- SMTP credentials via env vars
- SMTP failure does not crash pipeline — logged, decision still stored
- Test: trigger ESCALATE then verify email received with all fields

Story Points: 5
Estimate: 1 day
Epic: AI RCA System (MVP)",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000a7:,SCRUM Sprint 2,,,5.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10148,SCRUM-85,Epic 2 -- AI RCA System MVP,In Progress,07/Apr/26 11:11 AM
E2-07: LLM prompt template + ESCALATE/DISMISS decision parser,SCRUM-78,10109,Story,In Progress,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Highest,,Riham Kontar,712020:0897b05b-187b-416b-8b0f-af444750172b,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,31/Mar/26 12:26 AM,09/Apr/26 11:14 AM,09/Apr/26 11:14 AM,,14/Apr/26 12:00 AM,0,LLM,,,,"As an on-call engineer, I receive ESCALATE or DISMISS with a written RCA so that I know exactly what action to take.

Acceptance Criteria:
- System prompt defines SRE assistant role with clear investigation instructions
- Prompt includes: alert metadata, pre-gathered context (metrics + Drain3-annotated logs + traces), MCP tool definitions for all 5 bridges
- LLM responds with JSON: decision, severity, reason, rca, anomaly_summary, suggested_actions, evidence
- Pydantic LLMDecision validates output — decision enum: ESCALATE or DISMISS
- On parse failure: retry once with stricter instruction, then default ESCALATE (safe fallback)
- Raw LLM response always logged regardless of parse success
- Queries Ollama at :11434/api/chat with MCP tool definitions — LLM autonomously calls tools
- Cross-pillar instruction in prompt
- Investigation duration logged

Story Points: 8
Estimate: 1.5 days
Epic: AI RCA System (MVP)",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i0009z:,SCRUM Sprint 2,,,8.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10148,SCRUM-85,Epic 2 -- AI RCA System MVP,In Progress,07/Apr/26 11:11 AM
E2-06: Parallel context fan-out — Prometheus + Loki + Jaeger,SCRUM-77,10108,Story,In Progress,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Highest,,Riham Kontar,712020:0897b05b-187b-416b-8b0f-af444750172b,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,31/Mar/26 12:26 AM,09/Apr/26 11:14 AM,09/Apr/26 11:14 AM,,14/Apr/26 12:00 AM,0,FastAPI,,,,"As the triage service, I can concurrently query all three pillars so that context gathering stays under 10 seconds.

Acceptance Criteria:
- asyncio.gather queries Prometheus (query_range, T-15m), Loki (search_logs, 50 lines), Jaeger (find_traces, 20 limit) concurrently
- Per-source timeout: 8 seconds — on timeout, partial context with note
- Total gathering under 10 seconds
- Loki lines passed through Drain3 analyze() for annotation
- Jaeger data includes span names, durations, error flags, trace_ids
- Prometheus data includes metric values, timestamps, labels
- If all sources timeout: LLM still invoked with alert metadata + MCP tools (degraded mode)
- Logged with per-source latency: prometheus_ms, loki_ms, jaeger_ms, total_ms

Story Points: 5
Estimate: 1 day
Epic: AI RCA System (MVP)",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i0009r:,SCRUM Sprint 2,,,5.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10148,SCRUM-85,Epic 2 -- AI RCA System MVP,In Progress,06/Apr/26 2:16 PM
E2-05: Alert deduplication + 5-min grouping window,SCRUM-76,10107,Story,In Review,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Highest,,Riham Kontar,712020:0897b05b-187b-416b-8b0f-af444750172b,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,31/Mar/26 12:26 AM,09/Apr/26 11:14 AM,09/Apr/26 11:14 AM,,14/Apr/26 12:00 AM,0,FastAPI,,,,"As an operator, repeated firings of the same alert within 5 minutes are deduplicated so that Ollama is not called 20 times for one flapping alert.

Acceptance Criteria:
- In-memory dict keyed by (alertname, instance) with TTL = 5 minutes
- Duplicate within window: LLM call skipped, logged as deduplicated with window_remaining_seconds
- New or expired: proceeds to full pipeline
- Thread-safe with asyncio.Lock
- Resolve + re-fire within window: TTL resets, alert re-processed
- All dedup events logged with alertname, instance, action, duplicate count
- Test: 10 identical alerts in 5 min results in exactly 1 LLM invocation, 9 deduplicated

Story Points: 5
Estimate: 1 day
Epic: AI RCA System (MVP)",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i0009j:,SCRUM Sprint 2,,,5.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10148,SCRUM-85,Epic 2 -- AI RCA System MVP,In Progress,06/Apr/26 2:13 PM
