Work item Id,Summary,Work type,Status,Priority,Labels,Description,Sprint,Story Points,Parent,Reporter,Assignee,Due date
EPIC3,Epic 3 -- Kubernetes Migration of Monitored Target,Epic,To Do,High,Kubernetes,"Migrate the monitored infrastructure (Spring Boot, Kong, AI RCA pipeline, Ollama) from per-VM docker-compose to a single-node k3s cluster on EC2. The monitoring stack (Prometheus, Grafana, Loki, Jaeger) stays on its own VM and reaches into the cluster via kubernetes_sd_configs and an in-cluster OTel Collector DaemonSet.

Goals:
- Single-node k3s cluster on EC2 (HA deferred)
- Three Helm charts: Spring Boot (in-house), Kong (upstream), AI stack (in-house)
- First-party images built locally and imported into k3s containerd (no registry, no CI)
- Monitoring VM unchanged but reconfigured to scrape the cluster
- All 17 Grafana alert rules migrated to K8s label selectors
- End-to-end validation against the K8s target

Out of scope (sprint 3+):
- Multi-node HA / k3s embedded etcd
- ArgoCD / GitOps adoption
- Calico / Cilium for NetworkPolicy enforcement
- Longhorn for distributed storage
- Migrating the monitoring stack itself to K8s (deliberately rejected)",SCRUM Sprint 2,,,Lina Laaraich,,23/Apr/26
E3-01,"E3-01: Bootstrap k3s on EC2 via Ansible — xanmanning.k3s, pinned, Traefik disabled",Story,To Do,Highest,Kubernetes,"As a platform engineer, I need a single-node k3s cluster running on EC2 so that the Helm-deployed workloads have somewhere to run.

Acceptance Criteria:
- xanmanning.k3s role added to requirements.yml, version v3.4.4 pinned
- New playbook playbooks/k3s.yml bootstraps k3s on a single host
- k3s_release_version pinned to a specific v1.30.x+k3s1 release
- Traefik disabled (k3s_server.disable: [traefik])
- write-kubeconfig-mode: '0644'
- kubeconfig fetched back to control machine, server URL rewritten from 127.0.0.1 to EC2 IP
- New inventory group k3s_cluster wired into site.yml
- Verification: kubectl get nodes returns 1 Ready node from the control machine

Blocks: E3-03 through E3-10
Blocked by: SCRUM-63 (rescoped Terraform)",SCRUM Sprint 2,3,EPIC3,Lina Laaraich,Lina Laaraich,23/Apr/26
E3-02,"E3-02: Image build + k3s containerd import via Ansible (no registry, no CI)",Story,To Do,Highest,Kubernetes,"As a platform engineer, I need first-party container images (triage service + 5 MCP servers) loaded into the k3s host's containerd cache so that Helm-deployed pods can run them without a registry.

Why no registry/CI: single-node k3s with one or two contributors. ECR + GitHub Actions adds operational surface area we don't need. k3s containerd lets us import tarballs directly.

Acceptance Criteria:
- Dockerfiles for triage + 5 MCP servers exist (extracted from current docker-compose builds)
- Ansible role/tasks that, for each image:
  1. docker build -t cires/<name>:<tag> <context>
  2. docker save cires/<name>:<tag> -o /tmp/<name>.tar
  3. sudo k3s ctr images import /tmp/<name>.tar (on k3s host)
- Image tag pinned via single image_tag variable in group_vars
- All Helm charts reference cires/<name>:<image_tag> with imagePullPolicy: IfNotPresent
- Verification: sudo k3s crictl images shows all 6 cires/* images
- Verification: helm install of AI stack succeeds without ImagePullBackOff
- README documents build+import flow and the upgrade path to ECR+CI when multi-node is needed

Blocks: E3-05
Blocked by: E3-01",SCRUM Sprint 2,3,EPIC3,Lina Laaraich,Lina Laaraich,23/Apr/26
E3-03,E3-03: Helm chart — Spring Boot backend (Deployment + Service + ConfigMap + probes),Story,To Do,High,Kubernetes,"As a developer, I need a Helm chart that deploys the Spring Boot backend into k3s so that the application is reachable from Kong and can talk to RDS.

Acceptance Criteria:
- New chart at charts/spring-boot/ with Chart.yaml, values.yaml, templates/
- Deployment template: configurable replicas, resource requests + limits
- Liveness probe (/actuator/health/liveness), readiness probe (/actuator/health/readiness)
- Service template (ClusterIP, port 80 -> targetPort 8080)
- ConfigMap for Spring application properties
- Secret reference for RDS credentials (DB_USERNAME, DB_PASSWORD, DB_URL)
- ServiceAccount for the pod
- Image pinned by tag (no :latest)
- Installable via helm install spring-boot charts/spring-boot/ -n app --create-namespace
- Pod reaches RDS (verified via /actuator/health)
- Spring Boot logs include trace_id (OTel agent injected)

Blocks: E3-09, E3-10
Blocked by: E3-01",SCRUM Sprint 2,3,EPIC3,Lina Laaraich,Lina Laaraich,23/Apr/26
E3-04,"E3-04: Helm chart — Kong via upstream chart, DB-less mode, kong.yml as ConfigMap",Story,To Do,High,Kubernetes,"As a platform engineer, I need Kong running inside the cluster as the API gateway.

Acceptance Criteria:
- Upstream kong/kong Helm chart, chart_version pinned (e.g. 2.38.0)
- DB-less mode enabled
- Existing kong.yml converted to a ConfigMap mounted into the Kong pod
- Upstream URLs in kong.yml rewritten from application_vm_ip:8080 to spring-boot.app.svc.cluster.local:80
- React frontend route still points to CloudFront
- OTel plugin enabled, sends spans to in-cluster OTel Collector via OTLP
- Prometheus plugin enabled, /metrics scraped by Prometheus K8s SD
- Service exposed externally via NodePort or LoadBalancer (decision documented)
- Verification: curl through Kong reaches Spring Boot, traces appear in Jaeger

Blocks: E3-09, E3-10
Blocked by: E3-01, E3-03",SCRUM Sprint 2,3,EPIC3,Lina Laaraich,Lina Laaraich,23/Apr/26
E3-05,E3-05: Helm chart — AI stack (triage service + 5 MCP servers + Ollama),Story,To Do,High,Kubernetes,"As an SRE, I need the entire AI RCA pipeline deployed via a single Helm chart so triage, MCP servers, and Ollama share a lifecycle and can roll back together.

Acceptance Criteria:
- New chart at charts/ai-stack/ containing:
  - Triage service Deployment + Service (port 8090)
  - 5x MCP server Deployments + Services (Prometheus :8091, Loki :8092, Jaeger :8093, Drain3 :8094, RCA History :8095)
  - Ollama Deployment with PVC for model storage (20Gi minimum)
  - GPU resource request on Ollama: nvidia.com/gpu: 1
  - Init Job or postStart hook that pulls the Ollama model on first deploy
  - Secret for SMTP credentials and Ollama config
  - All inter-service references use Service DNS
- All image references pinned to tags from E3-02
- Resource requests + limits per container
- Liveness + readiness probes per container
- Verification: triage /health responds, MCP servers respond, Ollama returns model list

Blocks: E3-09, E3-10
Blocked by: E3-01, E3-02, E3-06",SCRUM Sprint 2,5,EPIC3,Lina Laaraich,Lina Laaraich,23/Apr/26
E3-06,E3-06: NVIDIA device plugin DaemonSet + Ollama GPU verification spike,Story,To Do,Highest,Kubernetes,"As a platform engineer, I need to verify GPU passthrough on k3s so Ollama can use the GPU. This is a spike — plan for fiddly debugging.

Acceptance Criteria:
- NVIDIA Container Toolkit installed on the k3s host (via repurposed nvidia_docker role)
- containerd configured with the nvidia runtime
- NVIDIA device plugin DaemonSet deployed (k8s-device-plugin v0.15.0)
- Test pod requesting nvidia.com/gpu: 1 runs and nvidia-smi output is visible
- Troubleshooting guide added to monitoring-docs (driver mismatch, runtime not configured, plugin CrashLoopBackOff)
- Decision documented: GPU on the same EC2 or separate g4dn.xlarge worker node
- If separate: node tainted, Ollama pod has matching toleration

Blocks: E3-05
Blocked by: E3-01",SCRUM Sprint 2,5,EPIC3,Lina Laaraich,Lina Laaraich,23/Apr/26
E3-07,E3-07: In-cluster OTel Collector DaemonSet — log/trace forwarding to monitoring VM,Story,To Do,High,Kubernetes,"As an observability engineer, I need an OTel Collector running on every K8s node so container logs and traces are enriched with K8s metadata and forwarded to the monitoring VM.

Acceptance Criteria:
- New manifest set or chart deploys:
  - Namespace observability
  - ServiceAccount + ClusterRole granting access to nodes/pods/namespaces
  - DaemonSet running otel/opentelemetry-collector-contrib (version pinned)
  - ConfigMap with collector config:
    * filelog receiver tailing /var/log/pods/*/*/*.log
    * k8sattributes processor enriching with pod, namespace, container, trace_id
    * OTLP receiver on :4317 / :4318
    * OTLP exporter pushing to monitoring_vm_ip:4317
- Per-VM OTel Collector containers retired from compose templates
- Verification: Spring Boot log line appears in Loki on the monitoring VM with correct labels
- Verification: trace from Spring Boot or Kong appears in Jaeger

Blocks: E3-10
Blocked by: E3-01, E3-03, E3-04, E3-05",SCRUM Sprint 2,3,EPIC3,Lina Laaraich,Lina Laaraich,23/Apr/26
E3-08,E3-08: Prometheus kubernetes_sd_configs scrape job + RBAC for monitoring VM,Story,To Do,High,Kubernetes,"As an observability engineer, I need the existing external Prometheus to discover and scrape K8s-hosted services so all metrics keep flowing to the same datastore.

Acceptance Criteria:
- New ServiceAccount prometheus-scraper in namespace observability
- ClusterRole granting get/list/watch on nodes, pods, services, endpoints + nonResourceURLs /metrics
- ClusterRoleBinding to the SA
- SA token extracted, stored as Ansible vault secret on the monitoring VM
- roles/prometheus updated with kubernetes_sd_configs scrape job:
  - role: pod, with annotation-based filtering
  - api_server: k3s host :6443
  - bearer_token_file: the new secret
  - relabel_configs: keep pods with prometheus.io/scrape='true', use prometheus.io/port
- Security group on k3s EC2 allows monitoring VM IP on :6443 and :10250
- Verification: Prometheus targets page shows healthy K8s targets

Blocks: E3-09, E3-10
Blocked by: E3-01, SCRUM-63 (security group update)",SCRUM Sprint 2,3,EPIC3,Lina Laaraich,Lina Laaraich,23/Apr/26
E3-09,E3-09: Migrate the 17 Grafana alert rules to K8s pod-based label selectors,Story,To Do,Highest,Kubernetes,"As an SRE, I need every Grafana alert rule's selector updated to match the K8s-hosted target so alerts continue to fire correctly. High-risk: silent failure if missed.

Acceptance Criteria:
- Audit current Grafana alerting: 17 rules in 3 groups (per CLAUDE.md)
- Rewrite each rule's label selector:
  - Old: instance='application_vm_ip:8080' -> New: pod=~'spring-boot.*', namespace='app'
  - Old: instance='network_vm_ip:8000'     -> New: pod=~'kong.*',        namespace='network'
  - Old: instance='ai_vm_ip:8090'           -> New: pod=~'triage.*',      namespace='ai'
- Updated rules committed to git, applied via Grafana provisioning
- Each rule manually triggered and verified to fire
- Triage service receives the test webhook for each rule
- No rule left with a stale selector

Blocks: E3-10
Blocked by: E3-03, E3-04, E3-05, E3-08",SCRUM Sprint 2,3,EPIC3,Lina Laaraich,Lina Laaraich,23/Apr/26
