Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Team Id,Team Name,Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"AI-03: Triage service self-observability — /metrics with queue depth, latency, error rates",SCRUM-131,10226,Story,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,High,,,,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,09/Apr/26 4:19 PM,09/Apr/26 4:26 PM,09/Apr/26 4:26 PM,,22/Apr/26 12:00 AM,0,AI,,,,"As an SRE, I need the triage service to expose its own operational metrics so I can observe and improve its behavior.

Acceptance Criteria:
- Triage service exposes /metrics in Prometheus format
- Metrics:
  - triage_alerts_received_total{source}
  - triage_alerts_processed_total{verdict}
  - triage_decision_duration_seconds (histogram)
  - triage_queue_depth (gauge)
  - triage_mcp_request_total{server,status}
  - triage_mcp_duration_seconds{server} (histogram)
  - triage_llm_token_count{type='prompt'|'completion'} (histogram)
  - triage_fallback_total{reason}
  - triage_email_sent_total{status}
- Prometheus annotations on the triage Service (prometheus.io/scrape, /port, /path)
- New Grafana panel 'Triage Service Health' added to unified-overview:
  - Decision throughput, latency p50/p95/p99, verdict breakdown, MCP error rates, fallback rate
- Dashboard JSON committed to git
- Verification: test alert produces visible metric updates within 30s

---
Story Points: 3
Estimate: 0.5 day
Epic: Epic 4 -- AI Triage Service Hardening
Sprint: SCRUM Sprint 2
Due date: 23 Apr 2026
Blocks: (none)
Blocked by: (none) — independent of K8s migration",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000ev:,SCRUM Sprint 2,09/Apr/26 12:00 AM,3.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10213,SCRUM-118,Epic 4 -- AI Triage Service Hardening,To Do,09/Apr/26 4:19 PM
AI-02: JSON schema enforcement on LLM verdict — Ollama JSON mode + Pydantic validator,SCRUM-130,10225,Story,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Highest,,,,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,09/Apr/26 4:19 PM,09/Apr/26 4:26 PM,09/Apr/26 4:26 PM,,22/Apr/26 12:00 AM,0,AI,,,,"As an SRE, I need the LLM verdict to be structured JSON validated against a strict schema so triage can reliably parse it without fragile string matching.

Acceptance Criteria:
- Ollama API call uses 'format: json' parameter (Ollama JSON mode)
- System prompt instructs the model to return JSON matching a documented schema
- Pydantic model for the verdict:
  { verdict: 'ESCALATE'|'DISMISS'|'INCONCLUSIVE',
    confidence: 0-1,
    root_cause: str,
    evidence: [str],
    recommended_actions: [str],
    alert_id: str }
- Validator runs on every LLM response; on schema failure, retry once with the validation error appended
- On second failure, escalate to NEEDS_HUMAN_REVIEW (uses fallback path from AI-01)
- Existing free-text 'ESCALATE/DISMISS' parser removed
- Unit tests for valid response, schema failure, retry recovery, double failure
- Schema documented in monitoring-docs

---
Story Points: 2
Estimate: 0.5 day
Epic: Epic 4 -- AI Triage Service Hardening
Sprint: SCRUM Sprint 2
Due date: 23 Apr 2026
Blocks: (none)
Blocked by: AI-01 (uses its NEEDS_HUMAN_REVIEW fallback path)",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000en:,SCRUM Sprint 2,09/Apr/26 12:00 AM,2.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10213,SCRUM-118,Epic 4 -- AI Triage Service Hardening,To Do,09/Apr/26 4:19 PM
"AI-01: Ollama call hardening — timeout, retry, circuit breaker, fallback",SCRUM-129,10224,Story,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Highest,,,,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,09/Apr/26 4:19 PM,09/Apr/26 4:26 PM,09/Apr/26 4:25 PM,,22/Apr/26 12:00 AM,0,AI,,,,"As an SRE, I need the triage service's Ollama calls to be resilient to timeouts and failures so a slow or hung Ollama doesn't stall the pipeline.

Acceptance Criteria:
- Configurable per-request timeout (default 30s, override via env var)
- Retry policy: up to 2 retries with exponential backoff on transient failures
- Circuit breaker: after 5 consecutive failures, mark Ollama 'down' for 60s cooldown
- Fallback: when circuit open or retries exhausted, produce 'NEEDS_HUMAN_REVIEW' verdict with raw alert context, sent via existing escalation email path
- Metrics: ollama_request_duration_seconds, ollama_request_total{status}, ollama_circuit_state
- Unit tests for timeout, retry, circuit breaker open/close transitions
- Manual test: kill Ollama mid-request, verify pipeline produces fallback within timeout + retry budget

---
Story Points: 3
Estimate: 0.5 day
Epic: Epic 4 -- AI Triage Service Hardening
Sprint: SCRUM Sprint 2
Due date: 23 Apr 2026
Blocks: (none)
Blocked by: (none) — independent of K8s migration",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000ef:,SCRUM Sprint 2,09/Apr/26 12:00 AM,3.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10213,SCRUM-118,Epic 4 -- AI Triage Service Hardening,To Do,09/Apr/26 4:19 PM
E3-10: End-to-end K8s validation playbook — full pipeline against K8s target,SCRUM-128,10223,Story,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Highest,,,,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,09/Apr/26 4:19 PM,09/Apr/26 4:25 PM,09/Apr/26 4:25 PM,,22/Apr/26 12:00 AM,0,Kubernetes,,,,"As an SRE, I need an automated end-to-end test against the K8s target so the migration is provably complete.

Acceptance Criteria:
- New playbook playbooks/integration-k8s.yml (or update existing integration.yml)
- Test sequence:
  1. Run load-test.sh against Kong's external endpoint
  2. Verify Spring Boot pod metrics in Prometheus (RED)
  3. Verify Spring Boot logs in Loki with trace_id label
  4. Verify trace in Jaeger end-to-end (Kong -> Spring -> RDS)
  5. Trigger an alert (high latency)
  6. Verify Grafana alert fires
  7. Verify webhook arrives at triage service
  8. Verify triage produces a verdict
  9. Verify LLM analysis runs and returns RCA JSON
 10. Verify escalation email sent (or DISMISS logged)
- All checks scripted, exit code 0 = pass
- Replaces SCRUM-66 (E1-05) — that ticket closes in favor of this one

---
Story Points: 3
Estimate: 0.5 day
Epic: Epic 3 -- K8s Migration
Sprint: SCRUM Sprint 2
Due date: 23 Apr 2026
Blocked by: E3-03, E3-04, E3-05, E3-06, E3-07, E3-08, E3-09",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000e7:,SCRUM Sprint 2,09/Apr/26 12:00 AM,3.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10212,SCRUM-117,Epic 3 -- Kubernetes Migration of Monitored Target,To Do,09/Apr/26 4:19 PM
E3-09: Migrate the 17 Grafana alert rules to K8s pod-based label selectors,SCRUM-127,10222,Story,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Highest,,,,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,09/Apr/26 4:19 PM,09/Apr/26 4:25 PM,09/Apr/26 4:24 PM,,20/Apr/26 12:00 AM,0,Kubernetes,,,,"As an SRE, I need every Grafana alert rule's selector updated to match the K8s-hosted target so alerts continue to fire correctly. High-risk: silent failure if missed.

Acceptance Criteria:
- Audit current Grafana alerting: 17 rules in 3 groups (per CLAUDE.md)
- Rewrite each rule's label selector:
  - Old: instance='application_vm_ip:8080' -> New: pod=~'spring-boot.*', namespace='app'
  - Old: instance='network_vm_ip:8000'     -> New: pod=~'kong.*',        namespace='network'
  - Old: instance='ai_vm_ip:8090'           -> New: pod=~'triage.*',      namespace='ai'
- Updated rules committed to git, applied via Grafana provisioning
- Each rule manually triggered and verified to fire
- Triage service receives the test webhook for each rule
- No rule left with a stale selector

---
Story Points: 3
Estimate: 0.5 day
Epic: Epic 3 -- K8s Migration
Sprint: SCRUM Sprint 2
Due date: 23 Apr 2026
Blocks: E3-10
Blocked by: E3-03, E3-04, E3-05, E3-08",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000dz:,SCRUM Sprint 2,09/Apr/26 12:00 AM,3.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10212,SCRUM-117,Epic 3 -- Kubernetes Migration of Monitored Target,To Do,09/Apr/26 4:19 PM
E3-08: Prometheus kubernetes_sd_configs scrape job + RBAC for monitoring VM,SCRUM-126,10221,Story,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,High,,,,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,09/Apr/26 4:19 PM,09/Apr/26 4:25 PM,09/Apr/26 4:25 PM,,20/Apr/26 12:00 AM,0,Kubernetes,,,,"As an observability engineer, I need the existing external Prometheus to discover and scrape K8s-hosted services so all metrics keep flowing to the same datastore.

Acceptance Criteria:
- New ServiceAccount prometheus-scraper in namespace observability
- ClusterRole granting get/list/watch on nodes, pods, services, endpoints + nonResourceURLs /metrics
- ClusterRoleBinding to the SA
- SA token extracted, stored as Ansible vault secret on the monitoring VM
- roles/prometheus updated with kubernetes_sd_configs scrape job:
  - role: pod, with annotation-based filtering
  - api_server: k3s host :6443
  - bearer_token_file: the new secret
  - relabel_configs: keep pods with prometheus.io/scrape='true', use prometheus.io/port
- Security group on k3s EC2 allows monitoring VM IP on :6443 and :10250
- Verification: Prometheus targets page shows healthy K8s targets

---
Story Points: 3
Estimate: 0.5 day
Epic: Epic 3 -- K8s Migration
Sprint: SCRUM Sprint 2
Due date: 23 Apr 2026
Blocks: E3-09, E3-10
Blocked by: E3-01, SCRUM-63 (security group update)",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000dr:,SCRUM Sprint 2,09/Apr/26 12:00 AM,3.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10212,SCRUM-117,Epic 3 -- Kubernetes Migration of Monitored Target,To Do,09/Apr/26 4:19 PM
E3-07: In-cluster OTel Collector DaemonSet — log/trace forwarding to monitoring VM,SCRUM-125,10220,Story,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,High,,,,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,09/Apr/26 4:19 PM,09/Apr/26 4:24 PM,09/Apr/26 4:24 PM,,20/Apr/26 12:00 AM,0,Kubernetes,,,,"As an observability engineer, I need an OTel Collector running on every K8s node so container logs and traces are enriched with K8s metadata and forwarded to the monitoring VM.

Acceptance Criteria:
- New manifest set or chart deploys:
  - Namespace observability
  - ServiceAccount + ClusterRole granting access to nodes/pods/namespaces
  - DaemonSet running otel/opentelemetry-collector-contrib (version pinned)
  - ConfigMap with collector config:
    * filelog receiver tailing /var/log/pods/*/*/*.log
    * k8sattributes processor enriching with pod, namespace, container, trace_id
    * OTLP receiver on :4317 / :4318
    * OTLP exporter pushing to monitoring_vm_ip:4317
- Per-VM OTel Collector containers retired from compose templates
- Verification: Spring Boot log line appears in Loki on the monitoring VM with correct labels
- Verification: trace from Spring Boot or Kong appears in Jaeger

---
Story Points: 3
Estimate: 0.5 day
Epic: Epic 3 -- K8s Migration
Sprint: SCRUM Sprint 2
Due date: 23 Apr 2026
Blocks: E3-10
Blocked by: E3-01, E3-03, E3-04, E3-05",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000dj:,SCRUM Sprint 2,09/Apr/26 12:00 AM,3.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10212,SCRUM-117,Epic 3 -- Kubernetes Migration of Monitored Target,To Do,09/Apr/26 4:19 PM
E3-06: NVIDIA device plugin DaemonSet + Ollama GPU verification spike,SCRUM-124,10219,Story,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,Highest,,,,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,09/Apr/26 4:19 PM,09/Apr/26 4:24 PM,09/Apr/26 4:24 PM,,20/Apr/26 12:00 AM,0,Kubernetes,,,,"As a platform engineer, I need to verify GPU passthrough on k3s so Ollama can use the GPU. This is a spike — plan for fiddly debugging.

Acceptance Criteria:
- NVIDIA Container Toolkit installed on the k3s host (via repurposed nvidia_docker role)
- containerd configured with the nvidia runtime
- NVIDIA device plugin DaemonSet deployed (k8s-device-plugin v0.15.0)
- Test pod requesting nvidia.com/gpu: 1 runs and nvidia-smi output is visible
- Troubleshooting guide added to monitoring-docs (driver mismatch, runtime not configured, plugin CrashLoopBackOff)
- Decision documented: GPU on the same EC2 or separate g4dn.xlarge worker node
- If separate: node tainted, Ollama pod has matching toleration

---
Story Points: 5
Estimate: 1 day (spike, may extend to 1.5)
Epic: Epic 3 -- K8s Migration
Sprint: SCRUM Sprint 2
Due date: 23 Apr 2026
Blocks: E3-05
Blocked by: E3-01",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000db:,SCRUM Sprint 2,09/Apr/26 12:00 AM,5.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10212,SCRUM-117,Epic 3 -- Kubernetes Migration of Monitored Target,To Do,09/Apr/26 4:19 PM
E3-05: Helm chart — AI stack (triage service + 5 MCP servers + Ollama),SCRUM-123,10218,Story,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,High,,,,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,09/Apr/26 4:19 PM,09/Apr/26 4:24 PM,09/Apr/26 4:23 PM,,20/Apr/26 12:00 AM,0,Kubernetes,,,,"As an SRE, I need the entire AI RCA pipeline deployed via a single Helm chart so triage, MCP servers, and Ollama share a lifecycle and can roll back together.

Acceptance Criteria:
- New chart at charts/ai-stack/ containing:
  - Triage service Deployment + Service (port 8090)
  - 5x MCP server Deployments + Services (Prometheus :8091, Loki :8092, Jaeger :8093, Drain3 :8094, RCA History :8095)
  - Ollama Deployment with PVC for model storage (20Gi minimum)
  - GPU resource request on Ollama: nvidia.com/gpu: 1
  - Init Job or postStart hook that pulls the Ollama model on first deploy
  - Secret for SMTP credentials and Ollama config
  - All inter-service references use Service DNS
- All image references pinned to tags from E3-02
- Resource requests + limits per container
- Liveness + readiness probes per container
- Verification: triage /health responds, MCP servers respond, Ollama returns model list

---
Story Points: 5
Estimate: 1 day
Epic: Epic 3 -- K8s Migration
Sprint: SCRUM Sprint 2
Due date: 23 Apr 2026
Blocks: E3-09, E3-10
Blocked by: E3-01, E3-02, E3-06",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000d3:,SCRUM Sprint 2,09/Apr/26 12:00 AM,5.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10212,SCRUM-117,Epic 3 -- Kubernetes Migration of Monitored Target,To Do,09/Apr/26 4:19 PM
"E3-04: Helm chart — Kong via upstream chart, DB-less mode, kong.yml as ConfigMap",SCRUM-122,10217,Story,To Do,SCRUM,Digital Factory Observability Service,software,Lina Laaraich,610c1cb7a539cb0068b06a40,Your first project,High,,,,Lina Laaraich,610c1cb7a539cb0068b06a40,Lina Laaraich,610c1cb7a539cb0068b06a40,09/Apr/26 4:19 PM,09/Apr/26 4:23 PM,09/Apr/26 4:23 PM,,20/Apr/26 12:00 AM,0,Kubernetes,,,,"As a platform engineer, I need Kong running inside the cluster as the API gateway.

Acceptance Criteria:
- Upstream kong/kong Helm chart, chart_version pinned (e.g. 2.38.0)
- DB-less mode enabled
- Existing kong.yml converted to a ConfigMap mounted into the Kong pod
- Upstream URLs in kong.yml rewritten from application_vm_ip:8080 to spring-boot.app.svc.cluster.local:80
- React frontend route still points to CloudFront
- OTel plugin enabled, sends spans to in-cluster OTel Collector via OTLP
- Prometheus plugin enabled, /metrics scraped by Prometheus K8s SD
- Service exposed externally via NodePort or LoadBalancer (decision documented)
- Verification: curl through Kong reaches Spring Boot, traces appear in Jaeger

---
Story Points: 3
Estimate: 0.5 day
Epic: Epic 3 -- K8s Migration
Sprint: SCRUM Sprint 2
Due date: 23 Apr 2026
Blocks: E3-09, E3-10
Blocked by: E3-01, E3-03",,Lina Laaraich,610c1cb7a539cb0068b06a40,,,,,,,,,,,0|i000cv:,SCRUM Sprint 2,09/Apr/26 12:00 AM,3.0,6f3a0d39-46e6-4fe8-bd10-eaff50217004,Observability Interns,,10212,SCRUM-117,Epic 3 -- Kubernetes Migration of Monitored Target,To Do,09/Apr/26 4:19 PM
